Accession	E-Value	Residue Range	Property	Architecture	X-group	T-group	Desc	Code	Tool	Community	Community Size	Community Rep	Seq length (aa)	Taxonomy	Taxonomy detail
UniRef100_A5URS6	6e-30	877-991	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	7.4e-236	624-814	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	1.96e-28	404-514	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	3.88e-56	613-1014	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	1.5e-13	293-361	NA	NA	NA	NA	Cation-transporting P-type ATPase, N-terminal	IPR004014	interproscan|Pfam	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	1.7e-16	771-789	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|PRINTS	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	1.7e-16	910-926	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|PRINTS	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	1.7e-16	942-967	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|PRINTS	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	1.7e-16	882-898	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|PRINTS	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	0.0	595-963	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	9.8e-48	995-1165	NA	NA	NA	NA	Cation-transporting P-type ATPase, C-terminal	IPR006068	interproscan|Pfam	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	2.48e-112	291-1169	NA	NA	NA	NA	P-type ATPase, transmembrane domain superfamily	IPR023298	interproscan|SUPERFAMILY	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_A5URS6	2.18e-41	620-818	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|SUPERFAMILY	C452	2	UniRef100_A7NJI6	1181	Other	Chloroflexi
UniRef100_K9Q7B0	1.7e-37	148-318	NA	NA	NA	NA	Phosphatidic acid phosphatase type 2/haloperoxidase superfamily	IPR036938	interproscan|SUPERFAMILY	C419	24	UniRef100_A0A1U7ILD7	328	Cyanobacteria	Cyanobacteria
UniRef100_K9Q7B0	1.3e-18	204-312	NA	NA	NA	NA	Phosphatidic acid phosphatase type 2/haloperoxidase	IPR000326	interproscan|SMART	C419	24	UniRef100_A0A1U7ILD7	328	Cyanobacteria	Cyanobacteria
UniRef100_K9Q7B0	4.2e-21	203-313	NA	NA	NA	NA	Phosphatidic acid phosphatase type 2/haloperoxidase	IPR000326	interproscan|Pfam	C419	24	UniRef100_A0A1U7ILD7	328	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D1P8U5	0.0	415-688	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C366	114	UniRef100_A0A3P1Y6T0	753	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D1P8U5	1e-155	192-738	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	753	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D1P8U5	2.6e-76	445-567	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	753	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D1P8U5	2.6e-76	425-687	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	753	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D1P8U5	3.35e-50	432-736	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	753	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D1P8U5	2.88e-25	246-342	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	753	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D1P8U5	3.7e-72	243-714	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	753	Cyanobacteria	Cyanobacteria
UniRef100_A4TUA7	1.98174e-11	99-158	NA	NA	NA	NA	Heavy metal-associated domain, HMA	IPR006121	interproscan|CDD	C19	2	UniRef100_A4TUA7	321	Proteobacteria	Proteobacteria
UniRef100_A4TUA7	8.9e-16	90-161	NA	NA	NA	NA	Heavy metal-associated domain superfamily	IPR036163	interproscan|SUPERFAMILY	C19	2	UniRef100_A4TUA7	321	Proteobacteria	Proteobacteria
UniRef100_A0A6N7AI18	3.27e-22	428-546	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|SUPERFAMILY	C744	6	UniRef100_A0A096BD71	557	Proteobacteria	Proteobacteria
UniRef100_A0A6N7AI18	1.3e-29	229-556	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C744	6	UniRef100_A0A096BD71	557	Proteobacteria	Proteobacteria
UniRef100_A0A6N7AI18	4.05e-23	227-317	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C744	6	UniRef100_A0A096BD71	557	Proteobacteria	Proteobacteria
UniRef100_A0A6N7AI18	6.3e-32	422-545	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C744	6	UniRef100_A0A096BD71	557	Proteobacteria	Proteobacteria
UniRef100_A0A6N7AI18	6.3e-32	402-557	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C744	6	UniRef100_A0A096BD71	557	Proteobacteria	Proteobacteria
UniRef100_V5V6W9	5.89e-23	499-625	NA	NA	NA	NA	PIN-like domain superfamily	IPR029060	interproscan|SUPERFAMILY	C724	2	UniRef100_V5V6W9	696	Cyanobacteria	Cyanobacteria
UniRef100_V5V6W9	3.4e-14	497-604	NA	NA	NA	NA	PIN domain	IPR002716	interproscan|SMART	C724	2	UniRef100_V5V6W9	696	Cyanobacteria	Cyanobacteria
CP006735.1_prot_AHB89148.1_1755	5.89e-23	499-625	NA	NA	NA	NA	PIN-like domain superfamily	IPR029060	interproscan|SUPERFAMILY	C724	2	UniRef100_V5V6W9	696	Cyanobacteria	Cyanobacteria
CP006735.1_prot_AHB89148.1_1755	3.4e-14	497-604	NA	NA	NA	NA	PIN domain	IPR002716	interproscan|SMART	C724	2	UniRef100_V5V6W9	696	Cyanobacteria	Cyanobacteria
UniRef100_A0A3D4XQL5	2.49e-13	100-166	NA	NA	NA	NA	Heavy metal-associated domain superfamily	IPR036163	interproscan|SUPERFAMILY	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	2.01e-44	504-754	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	0.0	489-757	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	2.9e-166	246-766	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	3.6e-29	518-637	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	1.7e-85	280-765	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	6.02e-12	274-501	NA	NA	NA	NA	P-type ATPase, transmembrane domain superfamily	IPR023298	interproscan|SUPERFAMILY	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	7.2e-54	474-763	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A3D4XQL5	2.09e-27	310-407	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C438	1	UniRef100_A0A3D4XQL5	766	Proteobacteria	Proteobacteria
UniRef100_A0A0X8WUB1	3.8e-50	399-677	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	735	NA	NA
UniRef100_A0A0X8WUB1	1.57e-19	222-313	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	735	NA	NA
UniRef100_A0A0X8WUB1	1.03e-29	411-727	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	735	NA	NA
UniRef100_A0A0X8WUB1	9.8e-23	534-705	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	735	NA	NA
UniRef100_A0A0X8WUB1	2.4e-19	228-430	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	735	NA	NA
UniRef100_A0A0X8WUB1	3.8e-50	419-559	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	735	NA	NA
UniRef100_A0A1G9GYU2	0.0	386-661	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A1G9GYU2	8.2e-144	168-713	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A1G9GYU2	2.14e-49	404-710	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A1G9GYU2	1.2e-41	505-690	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A1G9GYU2	6.5e-31	185-433	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A1G9GYU2	2.2e-75	396-661	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A1G9GYU2	2.2e-75	416-542	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A1G9GYU2	1.83e-20	216-311	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	732	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	1.9e-71	502-623	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	0.0	473-744	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	6.19e-46	489-791	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	1.9e-71	482-742	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	2.8e-67	271-771	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	6.8e-18	305-398	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	7e-142	253-794	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A1Q2ZCU6	2.8e-93	558-808	NA	NA	NA	NA	P-loop containing nucleoside triphosphate hydrolase	IPR027417	interproscan|Gene3D	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1Q2ZCU6	6.7e-20	592-778	NA	NA	NA	NA	AAA+ ATPase domain	IPR003593	interproscan|SMART	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1Q2ZCU6	1e-89	559-803	NA	NA	NA	NA	P-loop containing nucleoside triphosphate hydrolase	IPR027417	interproscan|SUPERFAMILY	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1Q2ZCU6	2.62e-44	226-550	NA	NA	NA	NA	ABC transporter type 1, transmembrane domain superfamily	IPR036640	interproscan|SUPERFAMILY	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1Q2ZCU6	4.3e-20	243-508	NA	NA	NA	NA	ABC transporter type 1, transmembrane domain	IPR011527	interproscan|Pfam	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1Q2ZCU6	3.3e-129	267-799	NA	NA	NA	NA	Type 1 protein exporter	IPR039421	interproscan|PANTHER	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1Q2ZCU6	1.2e-31	583-732	NA	NA	NA	NA	ABC transporter-like, ATP-binding domain	IPR003439	interproscan|Pfam	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1Q2ZCU6	2.4e-42	217-551	NA	NA	NA	NA	ABC transporter type 1, transmembrane domain superfamily	IPR036640	interproscan|Gene3D	C499	3	UniRef100_A0A345HJ89	809	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	1.4e-24	620-782	NA	NA	NA	NA	Alpha/Beta hydrolase fold	IPR029058	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	1.2e-73	225-675	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	5.24e-45	402-676	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	2.4e-20	673-757	NA	NA	NA	NA	Alpha/beta hydrolase fold-3	IPR013094	interproscan|Pfam	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	1.2e-80	414-537	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	8.7e-160	155-674	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	0.0	386-658	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	1.2e-80	396-656	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	1.44e-22	224-310	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A239D9F0	1.08e-42	427-729	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	753	Proteobacteria	Proteobacteria
UniRef100_A0A239D9F0	3.7e-67	209-708	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	753	Proteobacteria	Proteobacteria
UniRef100_A0A239D9F0	4.3e-141	193-732	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	753	Proteobacteria	Proteobacteria
UniRef100_A0A239D9F0	3.097e-43	411-681	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C366	114	UniRef100_A0A3P1Y6T0	753	Proteobacteria	Proteobacteria
UniRef100_A0A239D9F0	2.8e-75	420-680	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	753	Proteobacteria	Proteobacteria
UniRef100_A0A239D9F0	3.92e-20	242-336	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	753	Proteobacteria	Proteobacteria
UniRef100_A0A239D9F0	2.8e-75	440-561	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	753	Proteobacteria	Proteobacteria
UniRef100_A0A3B9K9P8	2.22e-22	200-293	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C710	8	UniRef100_A0A6G3LKZ2	448	Bacillota	Bacillota
UniRef100_A0A3B9K9P8	2.3e-14	378-395	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C710	8	UniRef100_A0A6G3LKZ2	448	Bacillota	Bacillota
UniRef100_A0A3B9K9P8	2.3e-14	396-446	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C710	8	UniRef100_A0A6G3LKZ2	448	Bacillota	Bacillota
UniRef100_A0A3B9K9P8	1.2e-27	163-413	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C710	8	UniRef100_A0A6G3LKZ2	448	Bacillota	Bacillota
UniRef100_A0A1X1YR34	2.2e-75	237-731	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	789	Actinomycetota	Actinomycetota
UniRef100_A0A1X1YR34	3.2e-80	454-704	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	789	Actinomycetota	Actinomycetota
UniRef100_A0A1X1YR34	0.0	445-705	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C525	61	UniRef100_A0A5C7KBI4	789	Actinomycetota	Actinomycetota
UniRef100_A0A1X1YR34	8.63e-23	267-364	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	789	Actinomycetota	Actinomycetota
UniRef100_A0A1X1YR34	2.1e-172	215-755	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	789	Actinomycetota	Actinomycetota
UniRef100_A0A1X1YR34	3.2e-80	474-587	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	789	Actinomycetota	Actinomycetota
UniRef100_A0A1X1YR34	7.73e-48	461-753	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	789	Actinomycetota	Actinomycetota
UniRef100_A0A524AZG9	2.22e-13	273-778	NA	NA	NA	NA	P-type ATPase, transmembrane domain superfamily	IPR023298	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	0.0	486-756	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	2.35e-28	312-405	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	5.4e-52	472-761	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	9.6e-86	277-787	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	1.8e-26	516-635	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	6.81e-15	94-163	NA	NA	NA	NA	Heavy metal-associated domain superfamily	IPR036163	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	7.7e-56	503-804	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A524AZG9	5.5e-181	243-806	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A327JJQ2	3.4e-77	403-528	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	718	Proteobacteria	Proteobacteria
UniRef100_A0A327JJQ2	1.05e-21	203-298	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	718	Proteobacteria	Proteobacteria
UniRef100_A0A327JJQ2	3.4e-77	383-646	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C366	114	UniRef100_A0A3P1Y6T0	718	Proteobacteria	Proteobacteria
UniRef100_A0A327JJQ2	6.8e-72	176-671	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	718	Proteobacteria	Proteobacteria
UniRef100_A0A327JJQ2	1.2e-146	150-696	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C366	114	UniRef100_A0A3P1Y6T0	718	Proteobacteria	Proteobacteria
UniRef100_A0A327JJQ2	3.02e-44	391-694	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C366	114	UniRef100_A0A3P1Y6T0	718	Proteobacteria	Proteobacteria
UniRef100_A0A327JJQ2	0.0	375-648	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C366	114	UniRef100_A0A3P1Y6T0	718	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	5.23e-21	320-417	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	1.07e-11	418-511	NA	NA	NA	NA	P-type ATPase, transmembrane domain superfamily	IPR023298	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	5.6e-80	290-806	NA	NA	NA	NA	P-type ATPase	IPR001757	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	9.95e-11	107-174	NA	NA	NA	NA	Heavy metal-associated domain superfamily	IPR036163	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	1.2e-78	528-649	NA	NA	NA	NA	P-type ATPase, cytoplasmic domain N	IPR023299	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	6.1e-163	256-818	NA	NA	NA	NA	P-type ATPase, subfamily IB	IPR027256	interproscan|TIGRFAM	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	0.0	499-767	NA	NA	NA	NA	P-type ATPase, haloacid dehalogenase domain	IPR044492	interproscan|SFLD	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	4.17e-50	515-816	NA	NA	NA	NA	HAD-like superfamily	IPR036412	interproscan|SUPERFAMILY	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_A0A1V8MA28	1.2e-78	508-766	NA	NA	NA	NA	HAD superfamily	IPR023214	interproscan|Gene3D	C525	61	UniRef100_A0A5C7KBI4	821	Proteobacteria	Proteobacteria
UniRef100_X8AEA9	1.7e-20	815-911	NA	NA	NA	NA	P-type ATPase, A domain superfamily	IPR008250	interproscan|SUPERFAMILY	C723	1	UniRef100_X8AEA9	1247	Actinomycetota	Actinomycetota
UniRef100_X8AEA9	1.83e-23	730-1005	NA	NA	NA	NA	P-type ATPase, transmembrane domain superfamily	IPR023298	interproscan|SUPERFAMILY	C723	1	UniRef100_X8AEA9	1247	Actinomycetota	Actinomycetota
