Community	Community Rep	Rep degree	Community Size	subgraph	Rep Degree	mean_seq_len	longest_seqs	longest_len	shortest_seqs	shortest_len	prefix	_commu	community_track	IPRS	IPRS_Functions	DomainMapper_Ecod	DomainMapper_Functions
C162	UniRef100_A0A1L9DVL8	0	1	Subgraph_226	0	883.0	UniRef100_A0A1L9DVL8	883	UniRef100_A0A1L9DVL8	883	us	162	us_C162	IPR023298;IPR023214;IPR006068	P-type ATPase, transmembrane domain superfamily;HAD superfamily;Cation-transporting P-type ATPase, C-terminal	2006.1.1.42;5073.1.1.14	Hydrolase_3_1;Cation_ATPase_C
C164	UniRef100_B8HUR6	0	1	Subgraph_227	0	275.0	UniRef100_B8HUR6	275	UniRef100_B8HUR6	275	us	164	us_C164	NA	NA	NA	NA
C169	UniRef100_A0A843H6L9	0	1	Subgraph_228	0	722.0	UniRef100_A0A843H6L9	722	UniRef100_A0A843H6L9	722	us	169	us_C169	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C170	UniRef100_A0A095YRM8	0	1	Subgraph_229	0	721.0	UniRef100_A0A095YRM8	721	UniRef100_A0A095YRM8	721	us	170	us_C170	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C175	UniRef100_C8W7F5	0	1	Subgraph_230	0	722.0	UniRef100_C8W7F5	722	UniRef100_C8W7F5	722	us	175	us_C175	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C179	UniRef100_A0A496S9P8	0	1	Subgraph_231	0	713.0	UniRef100_A0A496S9P8	713	UniRef100_A0A496S9P8	713	us	179	us_C179	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C180	UniRef100_A0A2G6NQL8	0	1	Subgraph_232	0	713.0	UniRef100_A0A2G6NQL8	713	UniRef100_A0A2G6NQL8	713	us	180	us_C180	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C181	UniRef100_H6SJT9	0	1	Subgraph_233	0	720.0	UniRef100_H6SJT9	720	UniRef100_H6SJT9	720	us	181	us_C181	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C183	UniRef100_A0A1V1P686	0	1	Subgraph_234	0	713.0	UniRef100_A0A1V1P686	713	UniRef100_A0A1V1P686	713	us	183	us_C183	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C191	UniRef100_A0A0F2NPA2	0	1	Subgraph_235	0	652.0	UniRef100_A0A0F2NPA2	652	UniRef100_A0A0F2NPA2	652	us	191	us_C191	IPR023214;IPR036412	HAD superfamily;HAD-like superfamily	267.1.1.5;2006.1.1.42	P-type_ATPase_Cu-like;Hydrolase_3_1
C192	UniRef100_Q8DMV2	11	15	Subgraph_20	11	331.6	Candidatus_Synechococcus_calcipolaris	362	UniRef100_A0A3M2FQJ0;UniRef100_A0A5C2M6G8;Thermosynechococcus_elongatus;UniRef100_Q8DMV2;NZ_AP018202.1_prot_WP_126984835.1_8	320	bc	192	bc_C192	NA	NA	NA	NA
C193	UniRef100_A0A1Y4CY52	0	1	Subgraph_236	0	224.0	UniRef100_A0A1Y4CY52	224	UniRef100_A0A1Y4CY52	224	us	193	us_C193	NA	NA	NA	NA
C195	UniRef100_B2ICP8	0	1	Subgraph_237	0	925.0	UniRef100_B2ICP8	925	UniRef100_B2ICP8	925	us	195	us_C195	IPR008250;IPR023214	P-type ATPase, A domain superfamily;HAD superfamily	10.13.1.2;2006.1.1.42	E1-E2_ATPase_N;Hydrolase_3_1
C196	UniRef100_A0A0P4UT70	1	2	Subgraph_140	1	234.0	UniRef100_A0A0P4UT70;UniRef100_A0A0S3U8C3	234	UniRef100_A0A0P4UT70;UniRef100_A0A0S3U8C3	234	usc	196	usc_C196	NA	NA	NA	NA
C199	UniRef100_A0A844MSH7	0	1	Subgraph_238	0	1108.0	UniRef100_A0A844MSH7	1108	UniRef100_A0A844MSH7	1108	us	199	us_C199	IPR023298;IPR004014;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C200	UniRef100_A0A7T7Z4C9	2	3	Subgraph_91	2	166.0	UniRef100_B8IEI6	173	UniRef100_A0A7T7Z4C9	162	usc	200	usc_C200	NA	NA	NA	NA
C201	UniRef100_A0A2D3VWG2	72	53	Subgraph_1	72	108.13207547169812	UniRef100_A0A3D8HRP8;UniRef100_A0A329ZIL6	131	UniRef100_A0A5C2HBS1;UniRef100_A0A4Q1A2N6;UniRef100_A0A1C0B6J0;UniRef100_A0A2G6DDM2	103	ubc	201	ubc_C201	NA	NA	NA	NA
C202	UniRef100_A0A5C7T941	18	57	Subgraph_6	18	153.1578947368421	UniRef100_C6E4A6	182	UniRef100_A0A1G6EW64	134	bc	202	bc_C202	NA	NA	NA	NA
C208	UniRef100_K9T588	0	1	Subgraph_239	0	323.0	UniRef100_K9T588	323	UniRef100_K9T588	323	us	208	us_C208	NA	NA	NA	NA
C212	UniRef100_A0A1J0A9T3	0	1	Subgraph_240	0	231.0	UniRef100_A0A1J0A9T3	231	UniRef100_A0A1J0A9T3	231	us	212	us_C212	NA	NA	NA	NA
C214	UniRef100_A0A6P1AGU4	2	3	Subgraph_94	2	392.6666666666667	UniRef100_B7KE60	404	UniRef100_A0A2T2RNG9	379	usc	214	usc_C214	NA	NA	NA	NA
C215	UniRef100_A0A2L1GMA8	0	1	Subgraph_241	0	231.0	UniRef100_A0A2L1GMA8	231	UniRef100_A0A2L1GMA8	231	us	215	us_C215	NA	NA	NA	NA
C216	UniRef100_B8IRK8	0	1	Subgraph_242	0	153.0	UniRef100_B8IRK8	153	UniRef100_B8IRK8	153	us	216	us_C216	NA	NA	NA	NA
C42	UniRef100_A0A1M3N6C8	7	10	Subgraph_28	7	981.3	UniRef100_A0A2T5G0I9	988	UniRef100_A0A7C4R1T0	970	s	42	s_C42	IPR023298;IPR004014;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;NA;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Cation_ATPase_C_1;Hydrolase_3_1;Cation_ATPase
C218	UniRef100_A0A7C8EDC8	0	1	Subgraph_243	0	1011.0	UniRef100_A0A7C8EDC8	1011	UniRef100_A0A7C8EDC8	1011	us	218	us_C218	IPR023298;IPR004014;IPR008250;IPR001757;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase, A domain superfamily;P-type ATPase;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C219	UniRef100_A0A3A5ASG5	0	1	Subgraph_244	0	1013.0	UniRef100_A0A3A5ASG5	1013	UniRef100_A0A3A5ASG5	1013	us	219	us_C219	IPR023298;IPR004014;IPR008250;IPR001757;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase, A domain superfamily;P-type ATPase;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C222	UniRef100_A0A5Q0BJE9	0	1	Subgraph_245	0	1015.0	UniRef100_A0A5Q0BJE9	1015	UniRef100_A0A5Q0BJE9	1015	us	222	us_C222	IPR004014;IPR023298;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	Cation-transporting P-type ATPase, N-terminal;P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C223	UniRef100_A0A2U0AB95	0	1	Subgraph_246	0	1000.0	UniRef100_A0A2U0AB95	1000	UniRef100_A0A2U0AB95	1000	us	223	us_C223	IPR023298;IPR004014;IPR008250;IPR001757;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase, A domain superfamily;P-type ATPase;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C224	UniRef100_A0A1V1PHP6	0	1	Subgraph_247	0	998.0	UniRef100_A0A1V1PHP6	998	UniRef100_A0A1V1PHP6	998	us	224	us_C224	IPR023298;IPR004014;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C225	UniRef100_A0A7Y8MS81	0	1	Subgraph_248	0	1015.0	UniRef100_A0A7Y8MS81	1015	UniRef100_A0A7Y8MS81	1015	us	225	us_C225	IPR023298;IPR004014;IPR008250;IPR001757;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase, A domain superfamily;P-type ATPase;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C226	UniRef100_A0A7C9JB03	0	1	Subgraph_249	0	1005.0	UniRef100_A0A7C9JB03	1005	UniRef100_A0A7C9JB03	1005	us	226	us_C226	IPR023298;IPR004014;IPR008250;IPR001757;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase, A domain superfamily;P-type ATPase;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C229	UniRef100_A0A4Q6BAV6	1	2	Subgraph_145	1	114.0	UniRef100_A0A4Q6BAV6;UniRef100_A0A4Q6CNV8	114	UniRef100_A0A4Q6BAV6;UniRef100_A0A4Q6CNV8	114	usc	229	usc_C229	NA	NA	NA	NA
C230	UniRef100_A0A7W1HYC2	0	1	Subgraph_250	0	729.0	UniRef100_A0A7W1HYC2	729	UniRef100_A0A7W1HYC2	729	us	230	us_C230	NA	NA	NA	NA
C231	UniRef100_A0A2A5HBM4	0	1	Subgraph_251	0	563.0	UniRef100_A0A2A5HBM4	563	UniRef100_A0A2A5HBM4	563	us	231	us_C231	IPR039421;IPR036640;IPR011527;IPR027417;IPR003439	Type 1 protein exporter;ABC transporter type 1, transmembrane domain superfamily;ABC transporter type 1, transmembrane domain;P-loop containing nucleoside triphosphate hydrolase;ABC transporter-like, ATP-binding domain	1075.4.1.1;2004.1.1.1405	ABC_membrane;ABC_tran_1
C232	UniRef100_A0A7V9D4S6	1	2	Subgraph_146	1	858.5	UniRef100_A0A7V9D4S6	866	UniRef100_A0A6J4PLA5	851	usc	232	usc_C232	IPR023298	P-type ATPase, transmembrane domain superfamily		
C154	UniRef100_A0A6B8M3E9	4	5	Subgraph_59	4	892.4	UniRef100_B8ETB9	909	UniRef100_A0A839T2H1	869	sc	154	sc_C154	IPR008250;IPR023214;IPR023299	P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42	E1-E2_ATPase_N;Hydrolase_3_1
C235	UniRef100_A0A1V3WRH7	1	2	Subgraph_135	1	361.5	UniRef100_A0A1V3WRH7	374	UniRef100_A0A0U1CZ53	349	usc	235	usc_C235	NA	NA	NA	NA
C237	UniRef100_A0A120IZ88	3	4	Subgraph_71	3	352.0	UniRef100_D5PAA7	367	UniRef100_V7ND07	335	usc	237	usc_C237	NA	NA	NA	NA
C242	UniRef100_A0A2I8AFJ9	0	1	Subgraph_252	0	774.0	UniRef100_A0A2I8AFJ9	774	UniRef100_A0A2I8AFJ9	774	us	242	us_C242	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C244	UniRef100_A0A2G6R442	0	1	Subgraph_253	0	336.0	UniRef100_A0A2G6R442	336	UniRef100_A0A2G6R442	336	us	244	us_C244	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C247	UniRef100_G1URW8	1	2	Subgraph_149	1	223.0	UniRef100_G1URW8	225	UniRef100_A0A848CC85	221	usc	247	usc_C247	NA	NA	NA	NA
C248	UniRef100_A0A2G6HLF5	0	1	Subgraph_254	0	136.0	UniRef100_A0A2G6HLF5	136	UniRef100_A0A2G6HLF5	136	us	248	us_C248	NA	NA	NA	NA
C250	UniRef100_A0A251Z9T8	0	1	Subgraph_255	0	749.0	UniRef100_A0A251Z9T8	749	UniRef100_A0A251Z9T8	749	us	250	us_C250	IPR023299;IPR036412;IPR023214	P-type ATPase, cytoplasmic domain N;HAD-like superfamily;HAD superfamily		
C51	UniRef100_A0A2W2DKB1	1	2	Subgraph_119	1	106.5	UniRef100_A0A2W2DKB1	128	UniRef100_A0A2S8NG53	85	s	51	s_C51	NA	NA	NA	NA
C254	UniRef100_B7KAL3	3	4	Subgraph_68	3	285.0	UniRef100_E0UKM3	294	UniRef100_B7KAK9	271	usc	254	usc_C254	NA	NA	NA	NA
C712	UniRef100_A0A351Z0B2	14	24	Subgraph_11	14	697.8333333333334	UniRef100_A0A523A856	707	UniRef100_A0A352AFP0	678	s	712	s_C712	IPR027256;IPR001757;IPR008250;IPR023214;IPR044492;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, haloacid dehalogenase domain;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C259	UniRef100_A0A4P8L413	0	1	Subgraph_256	0	161.0	UniRef100_A0A4P8L413	161	UniRef100_A0A4P8L413	161	us	259	us_C259	NA	NA	NA	NA
C260	UniRef100_I9AR64	2	4	Subgraph_72	2	201.5	UniRef100_A0A1I4I7J2;UniRef100_I9AR64	204	UniRef100_A0A4Q2WBT6	198	usc	260	usc_C260	NA	NA	NA	NA
C262	UniRef100_A0A7V9BT47	0	1	Subgraph_257	0	336.0	UniRef100_A0A7V9BT47	336	UniRef100_A0A7V9BT47	336	us	262	us_C262	IPR006121;IPR036163;IPR006122	Heavy metal-associated domain, HMA;Heavy metal-associated domain superfamily;Heavy metal-associated domain, copper ion-binding	304.3.1.7;5073.1.2.3	HMA;E1-E2_ATPase_C
C266	UniRef100_A0A6B3M4X7	3	4	Subgraph_73	3	435.0	UniRef100_A0A6P0KCZ0	443	UniRef100_A0A352AFP1	425	s	266	s_C266	NA	NA	NA	NA
C267	UniRef100_A0A0K9GCP2	0	1	Subgraph_258	0	136.0	UniRef100_A0A0K9GCP2	136	UniRef100_A0A0K9GCP2	136	us	267	us_C267	NA	NA	NA	NA
C270	UniRef100_A0A6N2DYB0	0	1	Subgraph_259	0	161.0	UniRef100_A0A6N2DYB0	161	UniRef100_A0A6N2DYB0	161	us	270	us_C270	NA	NA	NA	NA
C271	UniRef100_A0A4R4XT93	0	1	Subgraph_260	0	604.0	UniRef100_A0A4R4XT93	604	UniRef100_A0A4R4XT93	604	us	271	us_C271	IPR008250;IPR023214;IPR036412	P-type ATPase, A domain superfamily;HAD superfamily;HAD-like superfamily	5073.1.2.3;10.13.1.2;2006.1.1.42	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1
C272	UniRef100_A0A661SED5	0	1	Subgraph_261	0	190.0	UniRef100_A0A661SED5	190	UniRef100_A0A661SED5	190	us	272	us_C272	NA	NA	NA	NA
C273	UniRef100_A0A3D1UCG3	0	1	Subgraph_262	0	121.0	UniRef100_A0A3D1UCG3	121	UniRef100_A0A3D1UCG3	121	us	273	us_C273	NA	NA	NA	NA
C274	UniRef100_K6TX37	1	2	Subgraph_151	1	376.0	UniRef100_G7M1Z1	378	UniRef100_K6TX37	374	usc	274	usc_C274	NA	NA	NA	NA
C705	UniRef100_A0A3N9V6V7	2	3	Subgraph_98	2	310.3333333333333	UniRef100_A0A1R1S967	328	UniRef100_A0A3N9V6V7	281	s	705	s_C705	NA	NA	NA	NA
C280	UniRef100_X0PY98	2	3	Subgraph_96	2	278.3333333333333	UniRef100_A0A6H0RZJ6	285	UniRef100_D5PCW5;UniRef100_X0PY98	275	s	280	s_C280	NA	NA	NA	NA
C281	UniRef100_A0A1E3S7X9	0	1	Subgraph_263	0	363.0	UniRef100_A0A1E3S7X9	363	UniRef100_A0A1E3S7X9	363	us	281	us_C281	IPR036412;IPR001757;IPR023214	HAD-like superfamily;P-type ATPase;HAD superfamily	2006.1.1.42;5073.1.1.14	Hydrolase_3_1;Cation_ATPase_C
C282	UniRef100_A0A655JDK8	0	1	Subgraph_264	0	212.0	UniRef100_A0A655JDK8	212	UniRef100_A0A655JDK8	212	us	282	us_C282	NA	NA	NA	NA
C283	UniRef100_B1WT30	23	31	Subgraph_7	23	189.58064516129036	UniRef100_A0A1C0VLK1	206	UniRef100_A0A844GW67	176	ubc	283	ubc_C283	NA	NA	NA	NA
C286	UniRef100_A0A4Q1AQK5	0	1	Subgraph_265	0	717.0	UniRef100_A0A4Q1AQK5	717	UniRef100_A0A4Q1AQK5	717	us	286	us_C286	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C287	UniRef100_A0A4Q0XWV6	0	1	Subgraph_266	0	717.0	UniRef100_A0A4Q0XWV6	717	UniRef100_A0A4Q0XWV6	717	us	287	us_C287	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C288	UniRef100_A0A4Q0XUF8	0	1	Subgraph_267	0	717.0	UniRef100_A0A4Q0XUF8	717	UniRef100_A0A4Q0XUF8	717	us	288	us_C288	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C289	UniRef100_A0A0B0Q544	0	1	Subgraph_268	0	720.0	UniRef100_A0A0B0Q544	720	UniRef100_A0A0B0Q544	720	us	289	us_C289	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C290	UniRef100_A0A2P8QYZ5	0	1	Subgraph_269	0	718.0	UniRef100_A0A2P8QYZ5	718	UniRef100_A0A2P8QYZ5	718	us	290	us_C290	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C292	UniRef100_A0A4V1S340	0	1	Subgraph_270	0	556.0	UniRef100_A0A4V1S340	556	UniRef100_A0A4V1S340	556	us	292	us_C292	NA	NA	NA	NA
C293	UniRef100_A0A1M6MK54	1	2	Subgraph_152	1	613.5	UniRef100_A0A1D8GKE3	614	UniRef100_A0A1M6MK54	613	usc	293	usc_C293	IPR001757;IPR008250;IPR023214;IPR036412	P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;HAD-like superfamily	5073.1.2.3;10.13.1.2;2006.1.1.42	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1
C294	UniRef100_A0A2V7B4L6	5	7	Subgraph_44	5	169.28571428571428	UniRef100_A0A2V2ST91	177	UniRef100_A0A2V7B4L6;UniRef100_A0A1Q7DC32	164	ubc	294	ubc_C294	NA	NA	NA	NA
C295	UniRef100_A0A2G6FLX9	0	1	Subgraph_271	0	772.0	UniRef100_A0A2G6FLX9	772	UniRef100_A0A2G6FLX9	772	us	295	us_C295	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C636	UniRef100_A0A1M4UKF2	12	24	Subgraph_10	12	164.41666666666666	UniRef100_F6DJU1	180	UniRef100_H5Y3X3	155	s	636	s_C636	NA	NA	NA	NA
C299	UniRef100_C9N0P7	1	2	Subgraph_132	1	90.5	UniRef100_C9N0P7	97	UniRef100_H1DBC0	84	usc	299	usc_C299	NA	NA	NA	NA
C704	UniRef100_A0A3E1HHF6	2	3	Subgraph_87	2	200.33333333333331	UniRef100_A0A3E1HHF6	218	UniRef100_X8AY97	179	sc	704	sc_C704	NA	NA	NA	NA
C308	UniRef100_A0A1B1I172	1	2	Subgraph_153	1	294.5	UniRef100_A0A1B1I172	295	UniRef100_U2KE12	294	s	308	s_C308	NA	NA	NA	NA
C309	UniRef100_A0A2S9PN60	0	1	Subgraph_272	0	390.0	UniRef100_A0A2S9PN60	390	UniRef100_A0A2S9PN60	390	us	309	us_C309	NA	NA	NA	NA
