sequence_id	sequence_src	hit_target_len	hit_start	hit_stop	hit_e_value	hit_pident	hit_coverage	hit_method	hit_src
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	60	382	393	2.231	0.58	0.18	hmmsearch	Gly2
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	57	122	159	0.05404	0.61	0.65	hmmsearch	Gly3
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	57	194	234	8.395e-05	0.59	0.7	hmmsearch	Gly3
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	57	258	312	2.592e-25	0.51	0.95	hmmsearch	Gly3
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	61	110	170	2.796e-24	0.41	0.98	hmmsearch	Gly1
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	61	196	243	6.441e-08	0.56	0.77	hmmsearch	Gly1
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	61	272	299	0.02071	0.68	0.44	hmmsearch	Gly1
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	61	365	394	1.478	0.77	0.48	hmmsearch	Gly1
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	61	419	424	28.0	0.33	0.08	hmmsearch	Gly1
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	60	119	170	1.211e-07	0.63	0.85	hmmsearch	Gly2
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	60	188	244	2.54e-25	0.35	0.93	hmmsearch	Gly2
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	60	274	301	0.05941	0.75	0.45	hmmsearch	Gly2
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	60	382	393	2.231	0.58	0.18	hmmsearch	Gly2
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	57	122	159	0.05404	0.61	0.65	hmmsearch	Gly3
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	57	194	234	8.395e-05	0.59	0.7	hmmsearch	Gly3
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	57	258	312	2.592e-25	0.51	0.95	hmmsearch	Gly3
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	61	107	164	1.645e-17	0.6	0.93	hmmsearch	Gly1
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	61	184	227	8.147e-05	0.68	0.7	hmmsearch	Gly1
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	61	241	284	0.01605	0.76	0.7	hmmsearch	Gly1
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	60	111	164	0.01177	0.61	0.88	hmmsearch	Gly2
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	60	176	228	4.232e-20	0.58	0.87	hmmsearch	Gly2
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	60	246	281	0.07698	0.67	0.58	hmmsearch	Gly2
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	57	112	131	3.632	0.75	0.33	hmmsearch	Gly3
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	57	129	159	0.2712	0.61	0.53	hmmsearch	Gly3
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	57	183	221	0.09104	0.72	0.67	hmmsearch	Gly3
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	57	233	289	2.778e-20	0.65	0.98	hmmsearch	Gly3
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	61	107	164	1.645e-17	0.6	0.93	hmmsearch	Gly1
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	61	184	227	8.147e-05	0.68	0.7	hmmsearch	Gly1
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	61	241	284	0.01605	0.76	0.7	hmmsearch	Gly1
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	60	111	164	0.01177	0.61	0.88	hmmsearch	Gly2
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	60	176	228	4.232e-20	0.58	0.87	hmmsearch	Gly2
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	60	246	281	0.07698	0.67	0.58	hmmsearch	Gly2
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	57	112	131	3.632	0.75	0.33	hmmsearch	Gly3
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	57	129	159	0.2712	0.61	0.53	hmmsearch	Gly3
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	57	183	221	0.09104	0.72	0.67	hmmsearch	Gly3
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	57	233	289	2.778e-20	0.65	0.98	hmmsearch	Gly3
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	61	88	146	1.666e-17	0.58	0.95	hmmsearch	Gly1
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	61	164	200	1.397e-07	0.57	0.59	hmmsearch	Gly1
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	61	242	265	0.4239	0.67	0.38	hmmsearch	Gly1
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	60	91	143	2.72	0.66	0.87	hmmsearch	Gly2
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	60	158	213	5.874e-20	0.61	0.92	hmmsearch	Gly2
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	60	232	267	1.233	0.61	0.58	hmmsearch	Gly2
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	57	98	132	28.0	0.71	0.6	hmmsearch	Gly3
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	57	114	143	0.6167	0.73	0.51	hmmsearch	Gly3
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	57	167	200	0.00037	0.59	0.58	hmmsearch	Gly3
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	57	220	276	8.214e-18	0.54	0.98	hmmsearch	Gly3
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	61	139	198	1.029e-13	0.57	0.97	hmmsearch	Gly1
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	61	234	275	8.932e-10	0.61	0.67	hmmsearch	Gly1
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	60	148	201	5.895e-09	0.61	0.88	hmmsearch	Gly2
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	60	222	276	2.435e-16	0.58	0.9	hmmsearch	Gly2
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	57	139	164	0.1869	0.81	0.44	hmmsearch	Gly3
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	57	160	193	0.4145	0.65	0.58	hmmsearch	Gly3
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	57	228	271	5.116e-07	0.7	0.75	hmmsearch	Gly3
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	61	80	128	7.53e-12	0.56	0.79	hmmsearch	Gly1
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	61	154	193	3.088e-07	0.65	0.64	hmmsearch	Gly1
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	61	219	236	0.7616	0.78	0.28	hmmsearch	Gly1
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	60	83	125	2.705e-08	0.74	0.7	hmmsearch	Gly2
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	60	144	202	1.556e-21	0.54	0.97	hmmsearch	Gly2
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	60	239	251	0.1993	0.54	0.2	hmmsearch	Gly2
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	57	88	119	0.008925	0.62	0.54	hmmsearch	Gly3
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	57	153	187	0.0002209	0.57	0.6	hmmsearch	Gly3
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	57	206	259	2.166e-23	0.59	0.93	hmmsearch	Gly3
UniRef100_A0A6G9SA77	cobahma-fl-sequences-nr.fasta	61	267	312	2.453e-12	0.58	0.74	hmmsearch	Gly1
UniRef100_A0A6G9SA77	cobahma-fl-sequences-nr.fasta	61	343	379	2.709e-05	0.62	0.59	hmmsearch	Gly1
UniRef100_A0A6G9SA77	cobahma-fl-sequences-nr.fasta	60	262	316	2.954e-13	0.56	0.9	hmmsearch	Gly2
UniRef100_A0A6G9SA77	cobahma-fl-sequences-nr.fasta	60	334	381	2.615e-09	0.62	0.78	hmmsearch	Gly2
UniRef100_A0A6G9SA77	cobahma-fl-sequences-nr.fasta	57	266	315	0.001016	0.72	0.86	hmmsearch	Gly3
UniRef100_A0A6G9SA77	cobahma-fl-sequences-nr.fasta	57	346	379	0.008963	0.76	0.58	hmmsearch	Gly3
